gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,significance
ENSG00000229132,57.578085837858275,-1.2536242343003605,0.276013904503559,1.6866268206252763e-6,9.061085217794662e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000238741,767.7346064367024,-1.523339920551151,0.3415037646156492,1.69309139940557e-6,9.091741589911416e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000163808,69.96729660008661,-1.738027094427907,0.3935574657544996,1.6935559815742471e-6,9.092200481332795e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000139579,217.71136566087284,-1.3757357858308707,0.30556886656310633,1.7027694032398381e-6,9.135529268120312e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000167967,696.5933286947807,-1.003077971156546,0.21761837256459404,1.7100314786321072e-6,9.164240205710658e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000179476,122.19349787259385,-1.0488488973348982,0.22811855651094098,1.7146214351996819e-6,9.184733361393516e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000229931,70.00902482501577,-1.5000179324996703,0.33554659501226203,1.7346823424897015e-6,9.285971414640185e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000166816,64.75924862041305,-1.8469499405898984,0.4212076201022891,1.7437355959068671e-6,9.330130130401889e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000119559,464.0989501731806,-1.0680567048959935,0.2329071875593863,1.7451419924635372e-6,9.333629630521977e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000124772,368.818854501478,-1.1989251104681735,0.26367965423946205,1.7474260491886166e-6,9.343761764022609e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000074964,1102.1067849004535,-1.473402703278009,0.33043326179108246,1.7668847024827638e-6,9.435187916932007e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000207005,58.89913032413777,-2.2354835988399184,0.5186301463024212,1.7818825100572324e-6,9.506808978018365e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000267783,24.422030013616936,-2.1284772214949417,0.4909230199060002,1.7971716587487223e-6,9.581985486907926e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000142856,392.76831685919495,-1.1576931967744786,0.25428266806929894,1.7976523369189148e-6,9.582417947097001e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000205038,492.9385770576974,-1.6966824883396467,0.38626519179656144,1.804600353051901e-6,9.615180108173893e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000200972,27.517251558057275,-3.3942333289742317,0.8101543801951062,1.8568757633105253e-6,9.88054017211294e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000212443,198.9828505969302,-1.8757157248322167,0.430259634309934,1.8724120166920577e-6,9.958790193903066e-6,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000206652,60.86441032207931,-3.156090502475109,0.753998581633147,1.8945255951364058e-6,1.0067474589532746e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000120533,507.3141727628421,-1.0262160935897395,0.22398456453468366,1.894112963674677e-6,1.0067474589532746e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000231050,19.14537988177299,-2.068655464840057,0.4760154024041857,1.9071097857175252e-6,1.0129857559485645e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000125611,154.12897344433324,-1.2598140684088064,0.2793286226306248,1.920406203320111e-6,1.0184010615026922e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000196218,120.366147819413,-1.063938191847882,0.2328931609000967,1.920208345439206e-6,1.0184010615026922e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000154252,14.56843352670837,-3.5138475958061526,0.8342192866069602,1.922006557659481e-6,1.0188674019847408e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000117724,144.82744392983633,-1.3690018655764067,0.30583219662735645,1.9392966703310605e-6,1.0269019251289935e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000197457,454.88678973352313,-1.0349373963981325,0.2263552915500912,1.947343723407397e-6,1.0304765484279831e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000135316,2094.965073181242,-1.3359328335457428,0.29791694552242376,1.963385198270273e-6,1.038049026122524e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000067836,169.2576622446941,-1.5268929986313653,0.34491154885010716,1.9841218032186063e-6,1.0483192131480198e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000290578,258.69949983213206,-2.2396231673425193,0.5239161260643485,2.00386742825759e-6,1.0580525905872636e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000186056,165.50108579312734,-1.064108138096626,0.23361192088465835,2.0424754530663245e-6,1.0760686800403469e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000255647,19.475855242013743,-2.4906213298519346,0.5813225795379126,2.0464387106967613e-6,1.0776899460865525e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000279865,47.71850462537519,-2.3372270571261926,0.5483136778756172,2.046451511332733e-6,1.0776899460865525e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000167513,120.63131555849861,-1.5925390483129722,0.36153093195377417,2.0612182252276107e-6,1.0842758385042456e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000275647,31.691966820574223,-2.382072619118066,0.5580782758378197,2.0623771811084906e-6,1.0846475780119259e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000188191,242.01471006933173,-1.2544042423040256,0.2789145928051106,2.071538732980633e-6,1.0889882046107308e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000180340,197.95564176509404,-1.5816937923185144,0.3591325233586898,2.0867284875808647e-6,1.0955324559799539e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000188186,928.8298134363666,-1.1850057291503977,0.26235921413085905,2.098852968571317e-6,1.1009337684225137e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000223446,31.68047091505098,-2.0295908044048176,0.4706817267239669,2.133441346756015e-6,1.1171220606528984e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000264678,116.01804254664934,-1.8272226607367017,0.42089369201971877,2.1430641146097506e-6,1.1216709645694246e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000086544,491.7196400633241,-1.0155808204385623,0.22279578284722423,2.1437534207157714e-6,1.1217869198255646e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000162076,115.94364249017272,-1.2080137444126287,0.2683448987604959,2.1457507635502e-6,1.122542960264534e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000121807,5290.865752735159,-1.2334863080205685,0.27491303457842575,2.15299479346051e-6,1.1258857639941114e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000130734,435.4178293430805,-1.1357517317627102,0.25121208766085235,2.1542208551076426e-6,1.1260358445333803e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000142686,292.5273044696492,-1.1549362564416397,0.2558606352457847,2.167341909242852e-6,1.1324007334959058e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000164037,71.40847339487637,-1.2964267117833643,0.290045984521861,2.2347102667614116e-6,1.1645550112445063e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000137331,857.6704626853048,-1.4839156870197598,0.3362922964861496,2.236194084631148e-6,1.1650750931484724e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000107798,4307.93778727588,-1.3624299477647899,0.3071697481737718,2.240251655129562e-6,1.1666821974661707e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000233220,68.2719462246219,-1.5740576734244762,0.35838785266700485,2.241597763407337e-6,1.1671297777254617e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000106701,246.15847957391318,-1.1103481398396415,0.24562240731623342,2.246280740571933e-6,1.1693141897199067e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000184305,232.6466243243919,-1.3991371125350747,0.31560800160152,2.270818597082867e-6,1.1808059756123443e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000181458,20.61920876824985,-2.0657783118355413,0.47998541666936306,2.286927512047824e-6,1.1881519842706003e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000227161,92.3282880418352,-1.5680855147161947,0.35749613564554183,2.300936248924537e-6,1.1949123672955446e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000182676,31.5542869124338,-2.43850080872231,0.576594998396499,2.3375472572611185e-6,1.2131369470598602e-5,stroke_d1 vs control (ACUTE),Downregulated
ENSG00000237011,45.15222904585265,-1.9464238072423097,0.4521911088154093,2.3475596403505216e-6,1.218069565012683e-5,stroke_d1 vs control (ACUTE),Downregulated
