ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:1903313,positive regulation of mRNA metabolic process,131,0.41313065948570366,1.6185921638222889,6.268723168495474e-4,0.03071669816600059,0.027794638279325327,2021,"tags=24%, list=11%, signal=22%",27327/23112/22916/27161/57690/57472/51441/219988/9337/56829/26986/23019/11044/11189/26058/55802/10658/10140/4928/677/3192/253943/6434/25819/406954/10236/678/494115/54915/9698/149041/79068
GO:0032870,cellular response to hormone stimulus,452,0.3132674485399694,1.3990190920840642,6.277704537332498e-4,0.03071669816600059,0.027794638279325327,4197,"tags=31%, list=23%, signal=24%",23235/10018/2844/8313/2033/8202/5978/5469/9113/8289/9640/5465/55198/3480/9663/5781/26524/406/7532/23019/1979/11057/5170/6752/25959/6294/634/10499/9667/29904/5272/6655/2822/5530/55809/4067/5591/5579/79602/553/2782/5578/11031/8085/9611/6597/6667/677/3192/5936/57178/1395/64397/81565/54741/6774/3667/8648/2308/3303/1584/3304/678/3716/183/57492/10728/4838/6653/94056/858/7352/8805/11240/8660/3624/10902/3690/2180/2475/10521/8412/133522/6198/1601/196541/5594/79837/6256/9475/5894/7332/890/5770/6548/4644/3065/5584/2200/140710/5791/1906/5566/6599/27086/5925/6093/4193/4851/56937/3061/10768/51366/2549/85315/9612/3371/990/51341/84275/6654/338557/2932/2887/114907/23516/55777/7110/4149/1645/5305/5737/5915/1176/27019/1398/4303/1520/1667
GO:0022604,regulation of cell morphogenesis,205,0.36830033831886233,1.5252986207604622,6.745870484935226e-4,0.03272040483910321,0.029607733615802666,2719,"tags=24%, list=15%, signal=21%",2909/9175/6900/4628/161176/4651/445815/4627/1729/4771/4204/5048/127833/10507/51760/29904/5591/192670/6239/2335/960/23011/7074/5362/10602/23426/9962/7168/1523/8874/2011/157285/4478/254065/50618/10154/53335/26039/1857/10395/9043/57154/9362/118987/4352/50848/2768/9373/5879
GO:0045653,negative regulation of megakaryocyte differentiation,19,-0.7004603806671315,-1.9052601511999399,7.163028417190052e-4,0.03401258630832574,0.030776990686800006,2923,"tags=68%, list=16%, signal=57%",8363/8360/8366/8365/121504/8294/8364/8359/8361/8367/8362/10519/3276
GO:0006305,DNA alkylation,42,0.5667905306374994,1.8544716323462478,7.195204704880669e-4,0.03401258630832574,0.030776990686800006,2470,"tags=33%, list=14%, signal=29%",54737/8932/29104/4297/10664/55729/54815/4204/1788/11176/55904/3070/8493/8467
GO:0006306,DNA methylation,42,0.5667905306374994,1.8544716323462478,7.195204704880669e-4,0.03401258630832574,0.030776990686800006,2470,"tags=33%, list=14%, signal=29%",54737/8932/29104/4297/10664/55729/54815/4204/1788/11176/55904/3070/8493/8467
GO:0043488,regulation of mRNA stability,155,0.40042824489678974,1.5932876579099664,7.378874603564408e-4,0.03458769961233804,0.03129739382935987,2316,"tags=26%, list=13%, signal=23%",1994/27327/23112/8148/8313/23367/27161/57690/57472/51441/219988/9337/7188/23185/26986/23019/2521/11044/26058/55802/10658/5578/8761/10140/677/3192/253943/25819/406954/55603/10236/6041/678/54915/9698/26135/149041/79068/8531/131405/55051
GO:0032239,regulation of nucleobase-containing compound transport,15,0.7456022363515733,1.8943433059233727,7.777430436237734e-4,0.03611994323531141,0.032683876094679896,2846,"tags=60%, list=16%, signal=51%",22916/65125/10657/6830/9972/8737/54888/55051/55677
GO:0061014,positive regulation of mRNA catabolic process,105,0.43162185923660584,1.6339206156631654,7.900023439777684e-4,0.03611994323531141,0.032683876094679896,2021,"tags=26%, list=11%, signal=23%",27327/23112/27161/57690/57472/51441/219988/9337/56829/26986/23019/11044/26058/55802/10658/10140/677/3192/253943/25819/406954/10236/678/54915/9698/149041/79068
GO:0040017,positive regulation of locomotion,444,0.3063990385852883,1.3687004479851055,7.856885120476024e-4,0.03611994323531141,0.032683876094679896,2830,"tags=23%, list=16%, signal=20%",54434/27/9943/65125/27161/375056/3570/9448/3480/6789/57214/4680/8828/9590/91/23332/378938/596/2624/5170/3673/10507/5291/11116/196527/23075/2822/5530/3309/64750/4067/382/6239/2335/3554/285966/2526/5578/7074/5336/81704/6667/6809/3912/1901/1399/998/57343/79872/7057/57118/6774/4249/4318/80005/406954/59/8874/5294/728/183/9037/1435/57580/90/51378/79647/8482/1524/57556/8660/3690/8740/9750/2475/9043/51176/8650/6198/6869/1601/2247/23328/3579/5594/6868/23060/56670/7060/2358/114609/57091/693175/8613/9373/5879/9475/23604/3655/6648/1236/642273
GO:0090287,regulation of cellular response to growth factor stimulus,228,0.3621028917730714,1.5156564188831168,7.98259528240364e-4,0.03620074510995733,0.03275699133857549,4285,"tags=37%, list=24%, signal=28%",25942/28996/2033/2734/222663/9113/5465/26524/25778/4926/1387/5170/5291/3309/64750/5579/4089/79685/10140/331/28514/84312/151556/11167/9110/200734/405/7057/860/26999/406954/6497/3303/183/6653/8936/7148/4853/858/11171/753/57556/54778/3690/3622/3621/57154/2247/50515/6868/63893/5770/10984/79595/4088/3065/25/2200/693158/493/55959/1030/4851/66000/7043/56937/163126/494470/100532736/4681/8573/54361/51341/9597/2887/10251/2201/2625/8483/27122/348093/286204/199731/51742
GO:0035329,hippo signaling,34,0.6016759553055797,1.8466826660335063,8.46603452228178e-4,0.03808350045587723,0.03446064137040843,1095,"tags=26%, list=6%, signal=25%",9113/6789/154796/26524/55841/80014/4771/4140/60485
GO:0007265,Ras protein signal transduction,300,0.33619324902748454,1.4490800934697086,8.751146825103041e-4,0.03905111759233981,0.035336209706416065,3852,"tags=31%, list=21%, signal=25%",51196/376267/27/83452/2909/55333/57493/867/9448/201475/9649/25959/5291/137735/6655/55114/382/152015/23011/9855/10163/2782/7074/10152/10602/1399/998/3845/11214/7126/9710/80005/8729/9912/5294/3837/157285/116442/604/10928/1435/8936/84078/4853/27314/653160/19/9750/8844/10395/2151/6016/202243/9267/10146/2247/50848/23365/9815/2768/5879/9475/5894/5924/890/2305/51495/57569/5899/9826/2889/22821/25/57679/8727/9886/440107/84144/22898/5925/6093/8831/4851/5912/9423/6654/23221/57698/395/4893/4650/8550/10251
GO:1900151,"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",24,0.6624544859470232,1.8833595882506962,8.94499481992537e-4,0.03926669318466333,0.035531277730267534,2001,"tags=46%, list=11%, signal=41%",23112/27161/57690/26986/23019/11044/10140/677/3192/678/149041
GO:0006285,"base-excision repair, AP site formation",12,-0.7771170462152914,-1.8531151561094517,9.010643111575666e-4,0.03926669318466333,0.035531277730267534,2762,"tags=50%, list=15%, signal=42%",55247/23583/4350/4968/79661/4913
GO:0198738,cell-cell signaling by wnt,334,0.33113421087416695,1.4371826601823343,8.874650913360543e-4,0.03926669318466333,0.035531277730267534,2904,"tags=25%, list=16%, signal=21%",22881/85407/607/100133941/1457/4163/53944/65125/8313/1459/23240/79960/8932/6907/9113/57680/6789/54894/27031/90268/26524/9525/406/51339/57674/83439/23168/2239/151195/23291/59343/8434/64750/10159/63977/7074/7090/5336/6597/331/84327/998/7091/7855/1452/9209/1958/2869/6497/79705/2308/2011/6477/3836/1540/9037/9968/1857/144165/6932/10042/54972/80351/2131/51176/57154/440193/10146/4811/1601/2247/27185/5515/7473/5728/8613/5879/129293/1432/9314/23394/4088
GO:0006401,RNA catabolic process,277,0.3377832769109117,1.4467537883512807,9.222905961340369e-4,0.039880131358415956,0.03608635992217631,3024,"tags=26%, list=17%, signal=22%",729082/1994/27327/23112/8148/22916/8313/23367/27161/57690/57472/51441/219988/9337/192669/26523/56829/7188/23185/26986/23019/2521/11044/26058/55802/246243/9887/10658/192670/2926/5578/23211/8761/9939/10140/677/22882/3192/253943/342618/25819/406954/1736/3303/2935/55603/10236/6041/3304/678/54915/9698/26135/149041/54888/79068/65109/8531/3182/131405/55051/22794/51010/114609/23049/10957/9475/1432/10984/55596/201626/23381/55095
GO:0007006,mitochondrial membrane organization,109,-0.42557603153121304,-1.6209127662903529,9.355682442769909e-4,0.04014307435828504,0.03632428932233337,3504,"tags=37%, list=19%, signal=30%",5018/26520/7755/10452/10449/7157/637/90529/5599/598/84266/1386/79594/89941/26519/400916/90580/666/26521/56993/572/284114/3320/2931/27113/282991/125988/293/581/10651/115209/54543/8870/26517/3002/8834/790955/92609/23787/51079
